id,name,artists,duration_ms,year,spotify_popularity,popularity_source
113Ic34n00ufpCtiijoGQv,Last Man On The Moon,['SR-71'],227400,2000,75,proxy
5TrUKO6Go3HZAHBMEtIdhp,Another Night Alone,['SR-71'],213733,2000,74,proxy
4A469qAgP3IkDmaq5Ay17f,Fame (What She's Wanting),['SR-71'],166027,2000,71,proxy
6OANswAgi3wFWAOM3lpfsV,Non-Toxic,['SR-71'],244440,2000,67,proxy
4dgNpK6ERNhubyGeZTcz4O,Mental Obsession,['Tullycraft'],166467,2000,72,proxy
5Qln17WlB9nK9V6G1ujLRi,Wish I'd Kept a Scrap Book,['Tullycraft'],203533,2000,68,proxy
1Z2lQY2YpcqpyoHmLHvKIA,Pop Songs Your New Boyfriends's Too Stupid To Know About,['Tullycraft'],163267,2000,72,proxy
7rd9uPgbtPX513F2MliaaI,Meet Me In Las Vegas,['Tullycraft'],169867,2000,73,proxy
2XXjU5b5PoRsHox5wbBeZQ,Golddigger,['Supreme Beings of Leisure'],251400,2000,74,proxy
1Ns05hJIVfHlrdxO7ZMBHT,Last Girl On Earth,['Supreme Beings of Leisure'],255600,2000,68,proxy
1cdttV31ntr9bniz9AWky7,Strangelove Addiction,['Supreme Beings of Leisure'],304467,2000,69,proxy
31W8eg9YJqARBuqTPKNcpP,Ain't Got Nothin',['Supreme Beings of Leisure'],211160,2000,69,proxy
6uYgngEehjgS1nTedZLkw5,You're Always the Sun,['Supreme Beings of Leisure'],236533,2000,73,proxy
06ookebAV3nU12Z7ZUscY6,Sublime,['Supreme Beings of Leisure'],220627,2000,69,proxy
55G3VZAmkOyyfKI189ayv1,Under the Gun,['Supreme Beings of Leisure'],210333,2000,75,proxy
2E3vnmsxZmZEMahPDMMjTu,Annabelle,['Lolita Storm'],155440,2000,67,proxy
3KphMt44EbipC3zF1MOGnr,Be'Libi Tzafanti (In My Heart I Have Hidden),['Roy Kendall & Nomi Pritz'],247493,2000,67,proxy
1ilvwxIKQ7xM7QFuKVK1NO,Hallelu Et Adonai,['Barry & Batya Segal'],156853,2000,68,proxy
0TWFvhEikUf41rzIqQhjL4,"Blessed Be the Lord, God",['Joel Chernoff'],247160,2000,73,proxy
1mDBpk70pwffacJ7MoLzUh,4 Soundclashes & a Funeral,['Shitmat'],292640,2000,72,proxy
5E8OakD6XfBG5Fk1vuoxYS,Theme From the 1988 Morris Dancer Massacre,['Shitmat'],323867,2000,74,proxy
3SjuwDFN6yKYTbhKAmpL9W,Rag 'n' Bone Men,['Shitmat'],331453,2000,77,proxy
5BJSuLW3Xdc9niS6M0zBVi,Night of the Scorpion Scumland Riders,['Shitmat'],337133,2000,73,proxy
2UxJUkrVIoO0qGvGCG7C8I,Drinking from the Poisoned Well,['Tourniquet'],453400,2000,73,proxy
4P4NrUwpxAArrtBqVAxOQJ,The Tomb of Gilgamesh,['Tourniquet'],455667,2000,70,proxy
7rT8E5C53RfpI4g5NFDwUb,Erratic Palpitations of the Human Spirit,['Tourniquet'],386200,2000,67,proxy
